"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2019","91,046","90,845","91,250","90,586","","0.25%"
"03/22/2019","90,816","90,099","90,875","89,662","","0.82%"
"03/21/2019","90,074","90,283","90,750","89,578","","-0.20%"
"03/20/2019","90,251","90,176","90,599","89,423","","0.11%"
"03/19/2019","90,148","89,469","90,456","89,362","","0.79%"
"03/18/2019","89,442","89,814","89,845","89,057","","-0.32%"
"03/15/2019","89,726","89,915","90,292","89,677","","-0.19%"
"03/14/2019","89,895","91,027","91,141","89,660","","-1.19%"
"03/13/2019","90,978","90,618","91,191","90,555","","0.44%"
"03/12/2019","90,582","90,354","90,679","89,991","","0.29%"
"03/11/2019","90,319","90,935","90,944","90,130","","-0.59%"
"03/08/2019","90,854","90,149","91,085","90,112","","0.84%"
"03/07/2019","90,100","90,130","90,346","89,736","","0.00%"
"03/06/2019","90,096","90,781","91,220","89,923","","-0.73%"
"03/05/2019","90,755","91,245","91,538","90,481","","-0.50%"
"03/04/2019","91,211","91,847","92,112","90,930","","-0.66%"
"03/01/2019","91,813","93,035","93,170","91,491","","-1.29%"
"02/28/2019","93,012","93,977","94,309","92,971","","-0.98%"
"02/27/2019","93,930","94,392","94,883","93,702","","-0.43%"
"02/26/2019","94,335","93,978","94,817","93,967","","0.38%"
"02/25/2019","93,980","94,397","94,661","93,888","","-0.33%"
"02/22/2019","94,294","94,201","94,785","94,032","","0.17%"
"02/21/2019","94,132","95,129","95,368","94,079","","-0.90%"
"02/20/2019","94,986","95,582","96,078","94,872","","-0.63%"
"02/19/2019","95,586","94,676","95,692","94,408","","0.99%"
"02/18/2019","94,647","94,256","94,821","94,199","","0.46%"
"02/15/2019","94,214","93,243","94,365","93,149","","1.14%"
"02/14/2019","93,154","92,559","93,489","92,548","","0.66%"
"02/13/2019","92,543","92,491","93,353","92,377","","0.12%"
"02/12/2019","92,432","93,065","93,271","92,367","","-0.61%"
"02/11/2019","93,004","93,563","93,595","92,643","","-0.53%"
"02/08/2019","93,504","93,432","93,768","92,955","","0.13%"
"02/07/2019","93,378","93,512","93,736","93,043","","-0.07%"
"02/06/2019","93,440","94,074","94,320","93,414","","-0.64%"
"02/05/2019","94,044","94,109","94,458","93,896","","0.02%"
"02/04/2019","94,028","94,161","94,348","93,844","","-0.10%"
"02/01/2019","94,127","93,740","94,424","93,471","","0.40%"
"01/31/2019","93,750","94,062","94,349","93,480","","-0.20%"
"01/30/2019","93,938","93,639","94,292","93,253","","0.41%"
"01/29/2019","93,558","92,679","93,707","92,614","","1.05%"
"01/28/2019","92,584","92,441","92,792","92,127","","0.22%"
"01/25/2019","92,380","90,949","92,438","90,860","","1.63%"
"01/24/2019","90,898","91,323","91,514","90,809","","-0.41%"
"01/23/2019","91,276","91,569","91,749","91,124","","-0.29%"
"01/22/2019","91,541","91,116","91,773","90,909","","0.51%"
"01/21/2019","91,073","91,266","91,733","90,922","","-0.14%"
"01/18/2019","91,204","91,796","92,068","91,099","","-0.58%"
"01/17/2019","91,735","91,816","92,377","91,635","","-0.06%"
"01/16/2019","91,789","91,715","92,042","91,417","","0.14%"
"01/15/2019","91,660","91,390","91,952","91,300","","0.37%"
"01/14/2019","91,324","90,652","91,947","90,635","","0.78%"
"01/11/2019","90,617","90,628","91,402","90,600","","0.08%"
"01/10/2019","90,547","91,301","91,575","90,559","","-0.71%"
"01/09/2019","91,192","90,134","91,322","89,883","","1.19%"
"01/08/2019","90,121","89,980","90,292","89,617","","0.24%"
"01/07/2019","89,906","89,442","90,377","89,200","","0.63%"
"01/04/2019","89,347","90,726","91,089","89,260","","-1.49%"
"01/03/2019","90,695","90,121","91,029","89,954","","0.95%"
"01/02/2019","89,838","89,059","90,438","88,823","","0.89%"
"01/01/2019","89,044","89,315","89,456","89,058","","-0.16%"
"12/31/2018","89,188","89,528","89,677","88,957","","-0.39%"
"12/28/2018","89,539","89,748","89,847","89,281","","-0.10%"
"12/27/2018","89,625","88,802","90,012","88,759","","1.00%"
"12/26/2018","88,734","89,016","89,649","88,588","","-0.11%"
"12/25/2018","88,832","88,903","88,903","88,903","","-0.10%"
"12/24/2018","88,921","88,313","89,042","88,215","","0.96%"
"12/21/2018","88,078","88,188","88,654","87,853","","-0.04%"
"12/20/2018","88,111","87,364","88,643","87,363","","0.92%"
"12/19/2018","87,305","88,228","88,439","87,250","","-1.01%"
"12/18/2018","88,198","89,221","89,429","87,871","","-1.10%"
"12/17/2018","89,176","89,008","89,398","88,585","","0.16%"
"12/14/2018","89,033","88,827","89,277","88,736","","0.26%"
"12/13/2018","88,804","89,517","89,581","88,685","","-0.71%"
"12/12/2018","89,440","89,868","90,045","89,317","","-0.37%"
"12/11/2018","89,773","90,224","90,367","89,376","","-0.45%"
"12/10/2018","90,183","88,629","90,509","88,393","","2.01%"
"12/07/2018","88,404","87,719","88,606","87,350","","0.88%"
"12/06/2018","87,637","87,331","88,257","87,286","","0.44%"
"12/05/2018","87,256","87,396","87,444","86,949","","-0.07%"
"12/04/2018","87,319","86,716","87,719","86,671","","0.76%"
"12/03/2018","86,658","85,195","86,981","85,058","","1.84%"
"11/30/2018","85,092","85,426","85,569","84,692","","-0.29%"
"11/29/2018","85,338","86,249","86,505","85,275","","-1.03%"
"11/28/2018","86,224","86,007","86,643","85,484","","0.29%"
"11/27/2018","85,972","86,561","86,827","85,809","","-0.62%"
"11/26/2018","86,511","86,485","86,959","85,973","","0.17%"
"11/23/2018","86,365","86,743","86,862","86,208","","-0.40%"
"11/22/2018","86,709","87,432","87,573","86,701","","-0.79%"
"11/21/2018","87,397","87,279","87,729","87,042","","0.17%"
"11/20/2018","87,252","87,663","87,858","87,071","","-0.40%"
"11/19/2018","87,603","87,984","88,101","87,276","","-0.35%"
"11/16/2018","87,907","87,277","88,203","87,143","","0.78%"
"11/15/2018","87,225","87,562","87,647","86,946","","-0.36%"
"11/14/2018","87,543","87,310","87,966","86,610","","0.33%"
"11/13/2018","87,258","87,482","87,816","86,919","","-0.19%"
"11/12/2018","87,427","87,704","88,249","87,439","","-0.24%"
"11/09/2018","87,637","88,560","88,840","87,450","","-0.96%"
"11/08/2018","88,491","88,863","88,914","88,329","","-0.35%"
"11/07/2018","88,798","89,522","89,909","88,764","","-0.71%"
"11/06/2018","89,429","90,015","90,315","89,249","","-0.58%"
"11/05/2018","89,951","89,325","90,172","89,195","","0.76%"
